SOURCE		TARGET			VALUE
Bicycle		Bicycle			4211
Bicycle		Motorcycle		24
Bicycle		Car			13309
Bicycle		Truck			404
Bicycle		Pedestrian		1190
Motorcycle	Bicycle			24
Motorcycle	Motorcycle		1697
Motorcycle	Car			5152
Motorcycle	Truck			19
Motorcycle	Pedestrian		26
Car		Bicycle			13309
Car		Motorcycle		5152
Car		Car			16486
Car		Truck			19
Car		Pedestrian		75
Truck		Bicycle			404
Truck		Motorcycle		19
Truck		Car			19
Truck		Truck			0
Truck		Pedestrian		0
Pedestrian	Bicycle			1240
Pedestrian	Motorcycle		270
Pedestrian	Car			75
Pedestrian	Truck			0
