bez;ujahr;umonat;ustunde;uwochentag;ukategorie;uart;utyp1;ulichtverh;istrad;istpkw;istfuss;istkrad;istgkfz;istsonstige;ustrzustand;geometry
2;2018;1;15;3;3;6;4;0;0;1;1;0;0;0;1;POINT (13.4750178 52.51359681)
12;2018;1;11;1;3;2;6;0;0;1;0;0;0;0;0;POINT (13.29102205 52.58725906)
2;2018;1;9;2;3;6;4;0;0;1;1;0;0;0;0;POINT (13.42057818 52.52601854)
7;2018;1;17;1;3;6;7;2;0;1;1;0;0;0;0;POINT (13.34828776 52.48184447)
3;2018;1;15;3;3;6;7;1;1;0;1;0;0;0;1;POINT (13.40322797 52.58347154)
10;2018;1;5;1;2;2;6;2;0;1;0;0;0;0;0;POINT (13.54844656 52.5510946)
4;2018;1;17;1;3;2;6;2;0;1;0;0;0;1;1;POINT (13.25639043 52.48571541)
3;2018;1;16;4;3;2;6;2;0;1;0;0;0;0;1;POINT (13.42725182 52.63382261)
1;2018;1;14;1;3;6;4;0;0;1;1;0;0;0;0;POINT (13.41142938 52.51893299)
12;2018;1;21;6;3;0;1;2;0;0;0;1;0;0;1;POINT (13.35020475 52.57388905)
1;2018;1;17;2;3;2;6;2;0;1;0;0;0;0;1;POINT (13.41842748 52.52360287)
7;2018;1;16;3;3;2;6;2;0;1;0;0;0;0;1;POINT (13.37773011 52.47010259)
3;2018;1;11;4;3;5;2;0;1;1;0;0;0;0;1;POINT (13.43218628 52.53525526)
2;2018;1;8;1;3;5;2;0;1;1;0;0;0;0;0;POINT (13.47089659 52.51417313)
1;2018;1;19;3;3;5;7;2;1;1;0;0;0;0;1;POINT (13.39467345 52.51084845)
3;2018;1;6;4;3;5;2;2;0;1;0;0;0;0;0;POINT (13.44458831 52.54560285)
9;2018;1;18;3;2;5;3;2;1;1;0;0;0;0;1;POINT (13.50637217 52.45899296)
5;2018;1;15;7;3;5;3;0;0;1;0;0;0;0;0;POINT (13.17815056 52.51609207)
7;2018;1;13;2;3;3;6;0;0;1;0;0;1;0;0;POINT (13.37743615 52.47011861)
2;2018;1;11;6;3;6;4;0;1;0;1;0;0;0;0;POINT (13.44855444 52.50495533)
1;2018;1;8;2;3;5;3;0;1;1;0;0;0;0;1;POINT (13.3730303 52.5159128)
12;2018;1;7;5;3;0;7;1;0;0;0;1;0;0;1;POINT (13.28410402 52.5970472)
7;2018;1;15;1;3;0;3;0;0;1;0;0;0;1;0;POINT (13.37924233 52.43630206)
3;2018;1;10;4;3;6;2;0;0;0;1;0;0;1;1;POINT (13.41247778 52.54097318)
3;2018;1;9;3;3;1;5;0;0;1;0;0;1;0;1;POINT (13.42998793 52.55367547)
7;2018;1;0;7;2;2;6;2;0;1;0;0;0;0;0;POINT (13.38449562 52.45312998)
3;2018;1;14;3;3;0;6;0;0;0;0;1;0;1;1;POINT (13.41364244 52.54813473)
1;2018;1;17;3;2;2;6;2;0;1;0;0;0;0;1;POINT (13.41857706 52.5237397)
1;2018;1;22;5;3;2;6;2;0;1;0;0;0;0;0;POINT (13.36833544 52.54111108)
1;2018;1;9;2;3;2;6;0;0;1;0;0;0;1;0;POINT (13.41162064 52.51893645)
1;2018;1;17;4;3;3;6;2;0;1;0;0;0;0;1;POINT (13.41121885 52.51878227)
12;2018;1;7;2;3;6;2;1;0;1;1;0;0;0;2;POINT (13.31641633 52.61708257)
4;2018;1;13;7;3;2;6;0;0;1;0;0;0;0;0;POINT (13.28887346 52.53276686)
1;2018;1;12;1;3;5;3;0;1;0;0;0;0;1;0;POINT (13.41769328 52.52344572)
4;2018;1;19;3;3;2;6;2;0;1;0;0;0;0;0;POINT (13.30039993 52.51108677)
3;2018;1;8;1;3;6;4;0;1;0;1;0;0;0;0;POINT (13.43353746 52.53611592)
2;2018;1;8;4;3;5;3;0;1;1;0;0;0;0;1;POINT (13.45367006 52.51883086)
4;2018;1;6;1;3;2;6;1;0;1;0;0;0;0;0;POINT (13.29842668 52.54686536)
2;2018;1;8;4;2;5;3;0;1;1;0;0;0;0;1;POINT (13.43652747 52.51764211)
7;2018;1;6;2;1;5;2;2;1;0;0;0;1;0;1;POINT (13.35718628 52.48690005)
3;2018;1;15;4;3;6;3;0;0;1;1;0;0;0;0;POINT (13.42790784 52.56817242)
7;2018;1;19;1;3;3;6;2;0;1;0;0;0;0;0;POINT (13.38676944 52.46998979)
3;2018;1;22;6;3;2;6;2;0;1;0;0;0;0;0;POINT (13.44566793 52.59762124)
3;2018;1;19;2;3;2;6;2;0;1;0;0;0;0;0;POINT (13.41358859 52.55858737)
3;2018;1;11;5;3;1;5;0;1;1;0;0;0;0;0;POINT (13.42850921 52.53209046)
4;2018;1;10;1;3;3;6;0;0;1;0;0;0;0;0;POINT (13.28328727 52.49709232)
12;2018;1;12;3;3;2;6;0;0;1;0;0;0;1;1;POINT (13.30229234 52.64245276)
7;2018;1;9;2;3;6;4;0;0;1;1;0;0;0;1;POINT (13.38761144 52.43899811)
7;2018;1;16;4;2;5;3;0;1;1;0;0;0;0;1;POINT (13.35323275 52.47970452)
7;2018;1;10;3;2;5;3;0;1;1;0;0;0;0;1;POINT (13.37594587 52.42985299)
3;2018;1;17;7;3;3;6;2;0;0;0;1;0;1;0;POINT (13.43348954 52.53584246)
1;2018;1;6;2;3;5;3;2;1;1;0;0;0;0;0;POINT (13.41771871 52.52346813)
4;2018;1;16;1;3;2;6;2;0;1;0;0;0;1;0;POINT (13.28145524 52.49885011)
4;2018;1;19;3;3;3;6;2;0;1;0;0;0;0;1;POINT (13.28857229 52.49420221)
4;2018;1;22;5;3;2;6;2;0;1;0;0;1;0;0;POINT (13.28877063 52.53274473)
6;2018;1;17;1;3;2;6;2;0;1;0;0;0;0;0;POINT (13.31739335 52.45403539)
4;2018;1;17;4;3;2;6;2;0;1;0;0;0;0;0;POINT (13.28223853 52.49776429)
2;2018;1;10;6;2;5;3;0;1;1;0;0;0;0;0;POINT (13.46025955 52.51509809)
7;2018;1;20;1;3;0;1;2;0;0;0;1;0;0;2;POINT (13.39103313 52.43207457)
1;2018;1;16;3;3;2;6;2;0;0;0;1;0;1;1;POINT (13.3814641 52.50983334)
4;2018;1;10;4;3;3;6;0;0;1;0;0;1;0;1;POINT (13.28278069 52.52871325)
7;2018;1;15;1;3;2;6;1;0;1;0;0;0;0;0;POINT (13.38491553 52.44984708)
3;2018;1;8;2;2;6;4;0;0;1;1;0;0;0;0;POINT (13.43395303 52.53716546)
4;2018;1;11;4;3;2;6;0;0;1;0;0;0;0;0;POINT (13.28361836 52.51740341)
7;2018;1;6;2;3;6;2;2;0;1;1;0;0;0;1;POINT (13.35225844 52.48004673)
10;2018;1;3;7;2;1;5;2;0;1;0;0;1;0;0;POINT (13.56261332 52.56705917)
7;2018;1;20;2;2;6;2;2;0;1;1;0;0;0;1;POINT (13.38025961 52.43769417)
7;2018;1;19;3;3;2;6;2;0;1;0;0;0;0;1;POINT (13.36534305 52.47302409)
6;2018;1;18;2;2;6;4;2;0;1;1;0;0;0;1;POINT (13.31120027 52.45203552)
10;2018;1;15;4;3;5;2;0;1;1;0;0;0;0;0;POINT (13.57994696 52.505079)
9;2018;1;8;1;3;5;2;0;1;1;0;0;0;0;0;POINT (13.51090542 52.45581365)
12;2018;1;6;4;3;5;2;0;1;1;0;0;0;0;1;POINT (13.31132041 52.62762084)
7;2018;1;22;5;3;2;6;2;0;1;0;0;0;0;0;POINT (13.38580817 52.48226095)
2;2018;1;20;3;3;6;2;2;0;1;1;0;0;0;1;POINT (13.46759778 52.51435211)
1;2018;1;23;6;3;6;7;2;0;1;1;0;0;0;0;POINT (13.41085944 52.51854444)
10;2018;1;9;3;3;3;6;0;0;1;0;0;1;0;1;POINT (13.56203103 52.50843719)
7;2018;1;13;5;3;5;2;0;0;1;0;0;0;0;0;POINT (13.38574109 52.46947297)
1;2018;1;8;2;2;6;4;0;0;1;1;0;0;0;0;POINT (13.37472125 52.50926632)
9;2018;1;17;3;3;0;4;2;0;0;1;0;0;1;0;POINT (13.45780719 52.49162011)
2;2018;1;9;2;2;6;4;0;0;1;1;0;0;0;1;POINT (13.47349649 52.51376294)
12;2018;1;6;5;3;5;3;2;0;1;0;0;0;0;1;POINT (13.34550162 52.58081839)
